draw_idx,number,freq_short,freq_medium,freq_long,freq_all,freq_trend,gap_since_last,recency_weighted,pair_score,triplet_score,adjacent_flag,is_odd,is_low,target
154,3,1,3,8,28,-0.06,6,1.774321517771794,4,0,0,1,1,0
154,4,3,5,12,37,0.06,5,3.363650040559973,8,0,0,0,1,0
154,5,1,2,9,27,-0.07999999999999999,3,1.96730431162648,6,0,0,1,1,1
154,6,0,1,5,22,-0.1,19,0.7453922918129301,4,0,0,0,1,0
154,7,3,6,11,37,0.07999999999999999,2,4.361969883163792,11,0,0,1,0,0
154,8,2,3,11,29,-0.01999999999999999,4,2.8837176459175136,4,0,1,0,0,1
154,9,2,5,11,38,-0.01999999999999999,1,3.660352259397421,3,0,0,1,0,0
154,10,3,5,13,39,0.03999999999999998,2,4.258653608790087,9,0,1,0,0,0
154,11,0,0,0,0,0.0,154,0.0,0,0,0,1,0,0
154,12,0,0,0,0,0.0,154,0.0,0,0,0,0,0,0
155,1,3,5,9,23,0.12,2,3.5387090581812557,4,0,0,1,1,1
155,2,1,4,11,28,-0.12,7,2.85200716874814,5,0,0,0,1,0
155,3,1,2,8,28,-0.06,7,1.6555005136747454,7,0,0,1,1,0
155,4,3,5,11,37,0.07999999999999999,6,3.1383964598265752,8,0,1,0,1,0
155,5,2,3,9,28,0.020000000000000018,1,2.835559827140114,2,0,0,1,1,0
155,6,0,1,5,22,-0.1,20,0.6954755998986951,4,0,1,0,1,0
155,7,3,6,11,37,0.07999999999999999,3,4.069861809081771,10,0,1,1,0,0
155,8,2,4,12,30,-0.03999999999999998,1,3.6906037019178974,2,0,0,0,0,0
155,9,2,5,11,38,-0.01999999999999999,2,3.415229418664088,6,0,1,1,0,1
155,10,3,5,13,39,0.03999999999999998,3,3.9734643165284353,10,0,0,0,0,0
155,11,0,0,0,0,0.0,155,0.0,0,0,0,1,0,0
155,12,0,0,0,0,0.0,155,0.0,0,0,0,0,0,0
156,1,4,6,10,24,0.2,1,4.301732298733255,4,0,0,1,1,0
156,2,1,3,11,28,-0.12,8,2.6610167805414973,9,0,1,0,1,0
156,3,1,2,8,28,-0.06,8,1.5446365967646691,4,0,0,1,1,0
156,4,2,5,10,37,0.0,7,2.9282274375405155,8,0,0,0,1,1
156,5,2,3,9,28,0.020000000000000018,2,2.6456708681981334,6,0,0,1,1,0
156,6,0,0,5,22,-0.1,21,0.6489016795143353,4,0,0,0,1,1
156,7,3,6,11,37,0.07999999999999999,4,3.7973153388689678,11,0,0,1,0,0
156,8,2,4,12,30,-0.03999999999999998,2,3.443455012577272,4,0,1,0,0,0
156,9,3,6,11,39,0.07999999999999999,1,4.186521721280666,4,0,0,1,0,0
156,10,2,5,13,39,-0.06,4,3.707373298015282,9,0,1,0,0,0
156,11,0,0,0,0,0.0,156,0.0,0,0,0,1,0,0
156,12,0,0,0,0,0.0,156,0.0,0,0,0,0,0,0
157,1,4,6,10,24,0.2,2,4.0136581554775965,5,0,0,1,1,0
157,2,1,3,11,28,-0.12,9,2.482816447278277,4,0,0,0,1,0
157,3,1,2,8,28,-0.06,9,1.4411969047165725,7,0,1,1,1,0
157,4,3,6,11,38,0.07999999999999999,1,3.732132805948587,6,0,0,0,1,0
157,5,2,2,8,28,0.04000000000000001,3,2.468498204776687,5,0,1,1,1,0
157,6,1,1,6,23,-0.01999999999999999,1,1.6054466752505188,6,0,0,0,1,0
157,7,2,6,11,37,-0.01999999999999999,5,3.5430204904335185,5,0,1,1,0,0
157,8,2,4,12,30,-0.03999999999999998,3,3.212857131607387,7,0,0,0,0,1
157,9,2,5,11,39,-0.01999999999999999,2,3.9061628857403243,7,0,0,1,0,1
157,10,2,5,12,39,-0.03999999999999998,5,3.459101598990878,9,0,0,0,0,0
157,11,0,0,0,0,0.0,157,0.0,0,0,0,1,0,0
157,12,0,0,0,0,0.0,157,0.0,0,0,0,0,0,0
158,1,3,5,10,24,0.09999999999999998,3,3.7448754758113663,6,0,0,1,1,0
158,2,1,2,11,28,-0.12,10,2.3165496572408393,8,0,0,0,1,0
158,3,1,2,8,28,-0.06,10,1.3446842594012909,5,0,0,1,1,0
158,4,2,6,11,38,-0.01999999999999999,2,3.4822030367468693,11,0,0,0,1,1
158,5,2,2,8,28,0.04000000000000001,4,2.3031902646060307,6,0,0,1,1,0
158,6,1,1,6,23,-0.01999999999999999,2,1.497934714161813,3,0,0,0,1,1
158,7,2,6,10,37,0.0,6,3.3057550072653923,15,0,1,1,0,0
158,8,3,5,13,31,0.03999999999999998,1,3.997701700884006,3,0,1,0,0,0
158,9,3,6,11,40,0.07999999999999999,1,4.644578842712344,3,0,1,1,0,0
158,10,2,5,12,39,-0.03999999999999998,6,3.2274559129362133,11,0,1,0,0,0
158,11,0,0,0,0,0.0,158,0.0,0,0,0,1,0,0
158,12,0,0,0,0,0.0,158,0.0,0,0,0,0,0,0
159,1,3,5,10,24,0.09999999999999998,4,3.4940923681291043,5,0,0,1,1,0
159,2,0,2,11,28,-0.22,11,2.161417256738986,4,0,0,0,1,1
159,3,0,2,7,28,-0.14,11,1.2546347772216428,7,0,1,1,1,0
159,4,3,6,11,39,0.07999999999999999,1,4.249010316514487,7,0,0,0,1,0
159,5,2,2,8,28,0.04000000000000001,5,2.148952502663816,5,0,1,1,1,0
159,6,2,2,7,24,0.06,1,2.3976225074812287,7,0,0,0,1,1
159,7,2,5,10,37,0.0,7,3.0843784837166095,5,0,1,1,0,0
159,8,3,5,13,31,0.03999999999999998,2,3.7299875772475874,7,0,0,0,0,0
159,9,3,6,11,40,0.07999999999999999,2,4.333545292044461,7,0,0,1,0,0
159,10,2,5,12,39,-0.03999999999999998,7,3.011322845500033,9,0,0,0,0,0
159,11,0,0,0,0,0.0,159,0.0,0,0,0,1,0,0
159,12,0,0,0,0,0.0,159,0.0,0,0,0,0,0,0
160,1,2,5,10,24,0.0,5,3.260103454941426,6,0,1,1,1,0
160,2,1,3,12,29,-0.13999999999999999,1,3.016673609014456,3,0,0,0,1,0
160,3,0,1,6,28,-0.12,12,1.1706156394772254,6,0,1,1,1,0
160,4,2,6,10,39,0.0,2,3.9644668066882685,9,0,0,0,1,1
160,5,2,2,8,28,0.04000000000000001,6,2.0050435822309294,5,0,1,1,1,0
160,6,3,3,8,25,0.13999999999999999,1,3.2370609007311923,3,0,0,0,1,0
160,7,2,5,10,37,0.0,8,2.8778268836938703,5,0,1,1,0,0
160,8,3,5,13,31,0.03999999999999998,3,3.480201467594445,4,0,0,0,0,1
160,9,3,5,11,40,0.07999999999999999,3,4.043340727796491,7,0,0,1,0,0
160,10,2,5,12,39,-0.03999999999999998,8,2.809663563020027,6,0,0,0,0,0
160,11,0,0,0,0,0.0,160,0.0,0,0,0,1,0,0
160,12,0,0,0,0,0.0,160,0.0,0,0,0,0,0,0
161,1,2,5,9,24,0.020000000000000018,6,3.04178407928348,5,0,0,1,1,0
161,2,1,3,12,29,-0.13999999999999999,2,2.8146560019088955,5,0,0,0,1,1
161,3,0,1,6,28,-0.12,13,1.0922230120412084,9,0,1,1,1,0
161,4,3,6,10,40,0.09999999999999998,1,4.698978324492729,7,0,0,0,1,0
161,5,2,2,8,28,0.04000000000000001,7,1.8707718116906007,4,0,1,1,1,0
161,6,3,3,8,25,0.13999999999999999,2,3.0202846159960566,8,0,0,0,1,0
161,7,1,5,10,37,-0.1,9,2.6851074264179395,10,0,1,1,0,0
161,8,3,6,14,32,0.019999999999999962,1,4.247142786460433,7,0,0,0,0,0
161,9,3,5,11,40,0.07999999999999999,4,3.772570295058572,8,0,1,1,0,0
161,10,2,4,12,39,-0.03999999999999998,9,2.621508799416541,9,0,0,0,0,1
161,11,0,0,0,0,0.0,161,0.0,0,0,0,1,0,0
161,12,0,0,0,0,0.0,161,0.0,0,0,0,0,0,0
162,1,2,5,9,24,0.020000000000000018,7,2.8380848991028986,5,0,1,1,1,0
162,2,2,4,13,30,-0.06,1,3.6261669096080866,4,0,0,0,1,1
162,3,0,1,6,28,-0.12,14,1.0190801043501512,7,0,1,1,1,0
162,4,3,6,9,40,0.12,2,4.384301803268066,8,0,0,0,1,0
162,5,1,2,8,28,-0.06,8,1.745491819944414,9,0,0,1,1,0
162,6,3,3,7,25,0.15999999999999998,3,2.818025190555398,6,0,0,0,1,0
162,7,1,4,10,37,-0.1,10,2.5052938146684283,8,0,0,1,0,1
162,8,3,5,14,32,0.019999999999999962,2,3.96272433953515,6,0,0,0,0,0
162,9,3,5,11,40,0.07999999999999999,5,3.5199325481813957,13,0,1,1,0,0
162,10,2,5,13,40,-0.06,1,3.4459541974596797,4,0,0,0,0,0
162,11,0,0,0,0,0.0,162,0.0,0,0,1,1,0,0
162,12,0,0,0,0,0.0,162,0.0,0,0,0,0,0,0
163,1,2,5,9,24,0.020000000000000018,8,2.6480268436454155,7,0,1,1,1,0
163,2,3,5,14,31,0.019999999999999962,1,4.383333359483413,4,0,0,0,1,0
163,3,0,1,6,28,-0.12,15,0.9508353583774634,7,0,1,1,1,0
163,4,3,6,9,40,0.12,3,4.090698227303423,5,0,0,0,1,0
163,5,1,2,7,28,-0.04000000000000001,9,1.628601454465763,5,0,0,1,1,1
163,6,3,3,6,25,0.18,4,2.629310473769985,5,0,1,0,1,0
163,7,1,5,11,38,-0.12,1,3.3375217825787438,4,0,0,1,0,1
163,8,3,5,14,32,0.019999999999999962,3,3.6973525451522002,10,0,1,0,0,0
163,9,3,4,11,40,0.07999999999999999,6,3.284213195437465,13,0,0,1,0,0
163,10,1,4,13,40,-0.16,2,3.215188953554623,9,0,0,0,0,0
163,11,0,0,0,0,0.0,163,0.0,0,0,0,1,0,0
163,12,0,0,0,0,0.0,163,0.0,0,0,0,0,0,0
164,1,1,5,9,24,-0.07999999999999999,9,2.4706964075962516,5,0,0,1,1,1
164,2,3,4,14,31,0.019999999999999962,2,4.089794637301893,6,0,0,0,1,0
164,3,0,1,6,28,-0.12,16,0.887160758885897,6,0,0,1,1,0
164,4,3,6,9,40,0.12,4,3.816756404495228,5,0,1,0,1,0
164,5,2,3,7,29,0.06,1,2.5195388870813864,4,0,0,1,1,0
164,6,3,3,6,25,0.18,5,2.4532334170206695,5,0,1,0,1,0
164,7,2,5,12,39,-0.03999999999999998,1,4.114017933118703,4,0,0,1,0,1
164,8,3,5,14,32,0.019999999999999962,4,3.449751905969586,9,0,1,0,0,0
164,9,2,4,11,40,-0.01999999999999999,7,3.0642792625836757,12,0,0,1,0,0
164,10,1,4,12,40,-0.13999999999999999,3,2.9998773676911674,12,0,0,0,0,0
164,11,0,0,0,0,0.0,164,0.0,0,0,0,1,0,0
164,12,0,0,0,0,0.0,164,0.0,0,0,0,0,0,0
165,1,2,5,10,25,0.0,1,3.3052412603587737,4,0,0,1,1,1
165,2,3,4,14,31,0.019999999999999962,3,3.815913325212978,8,0,1,0,1,0
165,3,0,1,6,28,-0.12,17,0.8277502568373727,6,0,0,1,1,0
165,4,3,6,9,40,0.12,5,3.561159646053451,6,0,0,0,1,1
165,5,1,3,7,29,-0.04000000000000001,2,2.3508129051068645,6,0,0,1,1,0
165,6,3,3,6,25,0.18,6,2.2889477140208596,4,0,1,0,1,0
165,7,3,6,12,40,0.06,1,4.838514459373817,4,0,0,1,0,0
165,8,2,4,13,32,-0.06,5,3.218732340886606,9,0,1,0,0,0
165,9,2,4,11,40,-0.01999999999999999,8,2.8590736472726492,12,0,0,1,0,0
165,10,1,4,12,40,-0.13999999999999999,4,2.798984554620453,6,0,0,0,0,0
165,11,0,0,0,0,0.0,165,0.0,0,0,0,1,0,0
165,12,0,0,0,0,0.0,165,0.0,0,0,0,0,0,0
166,1,2,6,11,26,-0.01999999999999999,1,4.083899140903434,4,0,0,1,1,0
166,2,3,4,14,31,0.019999999999999962,4,3.560373025268631,6,0,1,0,1,0
166,3,0,1,5,28,-0.1,18,0.7723182983823346,8,0,1,1,1,0
166,4,4,6,10,41,0.2,1,4.32267943789741,4,0,0,0,1,0
166,5,1,3,7,29,-0.04000000000000001,3,2.1933859973951906,4,0,1,1,1,1
166,6,3,3,6,25,0.18,7,2.135663733084219,9,0,0,0,1,0
166,7,3,6,12,40,0.06,2,4.514493620623651,7,0,0,1,0,0
166,8,2,4,13,32,-0.06,6,3.0031834649737013,9,0,0,0,0,1
166,9,1,4,11,40,-0.12,9,2.667610038138851,9,0,0,1,0,0
166,10,1,3,11,40,-0.12,5,2.6115449322628397,7,0,0,0,0,0
166,11,0,0,0,0,0.0,166,0.0,0,0,0,1,0,0
166,12,0,0,0,0,0.0,166,0.0,0,0,0,0,0,0
167,1,2,6,11,26,-0.01999999999999999,2,3.810412632571729,4,0,0,1,1,0
167,2,3,4,14,31,0.019999999999999962,5,3.321945494753344,5,0,0,0,1,0
167,3,0,1,4,28,-0.08,19,0.7205984523582862,7,0,0,1,1,0
167,4,3,6,10,41,0.09999999999999998,2,4.033202527396066,9,0,1,0,1,0
167,5,2,4,8,30,0.04000000000000001,1,3.0465014987445787,3,0,0,1,1,0
167,6,2,3,6,25,0.08000000000000002,8,1.9926447217962349,4,0,1,0,1,0
167,7,3,5,12,40,0.06,3,4.212171488124318,11,0,1,1,0,0
167,8,3,5,13,33,0.03999999999999998,1,3.8020692524582875,3,0,0,0,0,1
167,9,1,3,11,40,-0.12,10,2.488968174138309,7,0,1,1,0,1
167,10,1,3,11,40,-0.12,6,2.4366575806819863,10,0,0,0,0,0
167,11,0,0,0,0,0.0,167,0.0,0,0,0,1,0,0
167,12,0,0,0,0,0.0,167,0.0,0,0,0,0,0,0
168,1,2,5,11,26,-0.01999999999999999,3,3.5552406975580424,6,0,0,1,1,1
168,2,3,4,14,31,0.019999999999999962,6,3.0994847426919323,8,0,0,0,1,0
168,3,0,1,4,28,-0.08,20,0.6723421297006454,5,0,0,1,1,0
168,4,3,5,10,41,0.09999999999999998,3,3.7631110196101636,12,0,0,0,1,0
168,5,2,4,8,30,0.04000000000000001,2,2.8424864070950218,7,0,0,1,1,0
168,6,2,3,6,25,0.08000000000000002,9,1.8592032658475703,3,0,0,0,1,0
168,7,3,5,12,40,0.06,4,3.930094964430679,15,0,1,1,0,0
168,8,3,6,13,34,0.03999999999999998,1,4.547456048651269,4,0,1,0,0,1
168,9,1,4,12,41,-0.13999999999999999,1,3.322289421356172,4,0,1,1,0,0
168,10,1,3,10,40,-0.1,7,2.2734819118545535,11,0,1,0,0,0
168,11,0,0,0,0,0.0,168,0.0,0,0,0,1,0,0
168,12,0,0,0,0,0.0,168,0.0,0,0,0,0,0,0
169,1,3,6,12,27,0.06,1,4.3171568636759865,3,0,0,1,1,0
169,2,3,3,13,31,0.03999999999999998,7,2.8919215216965455,7,0,1,0,1,1
169,3,0,0,3,28,-0.06,21,0.6273173886108214,7,0,0,1,1,1
169,4,2,5,10,41,0.0,4,3.5111067321119966,11,0,0,0,1,0
169,5,2,4,8,30,0.04000000000000001,3,2.6521335958145795,5,0,0,1,1,0
169,6,1,3,6,25,-0.01999999999999999,10,1.7346979850087607,3,0,0,0,1,0
169,7,3,5,12,40,0.06,5,3.666908261686499,11,0,1,1,0,0
169,8,4,7,14,35,0.12,1,5.242926520955243,3,0,0,0,0,0
169,9,1,4,12,41,-0.13999999999999999,2,3.099805637559038,8,0,1,1,0,0
169,10,1,3,10,40,-0.1,8,2.1212336294224743,4,0,0,0,0,0
